"Tabela 6450 - Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Cód.";"Município";"Ano x Variável x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Cód.";"Município";"2019"
"Cód.";"Município";"Pessoal ocupado assalariado (Pessoas)";;"Salários e outras remunerações (Mil Reais)"
"Cód.";"Município";"Total";"55.10-8 Hotéis e similares";"Total";"55.10-8 Hotéis e similares"
"1100015";"Alta Floresta D'Oeste (RO)";"2443";"8";"58805";"101"
"1100023";"Ariquemes (RO)";"16718";"X";"440332";"X"
"1100031";"Cabixi (RO)";"536";"X";"13352";"X"
"1100049";"Cacoal (RO)";"17058";"222";"436894";"3303"
"1100056";"Cerejeiras (RO)";"2022";"25";"50928";"333"
"1100064";"Colorado do Oeste (RO)";"2110";"X";"47580";"X"
"1100072";"Corumbiara (RO)";"877";"X";"20597";"X"
"1100080";"Costa Marques (RO)";"872";"X";"19380";"X"
"1100098";"Espigão D'Oeste (RO)";"4345";"17";"107549";"181"
"1100106";"Guajará-Mirim (RO)";"3754";"X";"100893";"X"
"1100114";"Jaru (RO)";"9562";"46";"244813";"756"
"1100122";"Ji-Paraná (RO)";"28558";"217";"721013";"3484"
"1100130";"Machadinho D'Oeste (RO)";"3032";"23";"71912";"351"
"1100148";"Nova Brasilândia D'Oeste (RO)";"1611";"-";"40617";"-"
"1100155";"Ouro Preto do Oeste (RO)";"5699";"32";"141201";"526"
"1100189";"Pimenta Bueno (RO)";"9179";"39";"215896";"536"
"1100205";"Porto Velho (RO)";"153945";"645";"6816820";"12480"
"1100254";"Presidente Médici (RO)";"2403";"27";"56800";"368"
"1100262";"Rio Crespo (RO)";"383";"-";"10863";"-"
"1100288";"Rolim de Moura (RO)";"11322";"X";"254268";"X"
"1100296";"Santa Luzia D'Oeste (RO)";"694";"-";"16529";"-"
"1100304";"Vilhena (RO)";"20032";"X";"532636";"X"
"1100320";"São Miguel do Guaporé (RO)";"3076";"12";"75331";"160"
"1100338";"Nova Mamoré (RO)";"1808";"9";"40407";"101"
"1100346";"Alvorada D'Oeste (RO)";"1234";"X";"25276";"X"
"1100379";"Alto Alegre dos Parecis (RO)";"928";"-";"22776";"-"
"1100403";"Alto Paraíso (RO)";"1244";"X";"31861";"X"
"1100452";"Buritis (RO)";"3461";"27";"82942";"414"
"1100502";"Novo Horizonte do Oeste (RO)";"790";"-";"18264";"-"
"1100601";"Cacaulândia (RO)";"461";"X";"12148";"X"
"1100700";"Campo Novo de Rondônia (RO)";"780";"-";"22799";"-"
"1100809";"Candeias do Jamari (RO)";"1865";"17";"49432";"356"
"1100908";"Castanheiras (RO)";"342";"-";"7498";"-"
"1100924";"Chupinguaia (RO)";"2130";"X";"51666";"X"
"1100940";"Cujubim (RO)";"1275";"X";"33435";"X"
"1101005";"Governador Jorge Teixeira (RO)";"580";"-";"12899";"-"
"1101104";"Itapuã do Oeste (RO)";"1103";"X";"27674";"X"
"1101203";"Ministro Andreazza (RO)";"795";"-";"18735";"-"
"1101302";"Mirante da Serra (RO)";"1251";"X";"26264";"X"
"1101401";"Monte Negro (RO)";"1188";"X";"26317";"X"
"1101435";"Nova União (RO)";"472";"X";"10614";"X"
"1101450";"Parecis (RO)";"469";"-";"12415";"-"
"1101468";"Pimenteiras do Oeste (RO)";"395";"X";"10205";"X"
"1101476";"Primavera de Rondônia (RO)";"331";"-";"7115";"-"
"1101484";"São Felipe D'Oeste (RO)";"456";"-";"9900";"-"
"1101492";"São Francisco do Guaporé (RO)";"1368";"10";"31810";"115"
"1101500";"Seringueiras (RO)";"1178";"-";"28382";"-"
"1101559";"Teixeirópolis (RO)";"454";"-";"10683";"-"
"1101609";"Theobroma (RO)";"722";"-";"18569";"-"
"1101708";"Urupá (RO)";"1239";"-";"27536";"-"
"1101757";"Vale do Anari (RO)";"682";"-";"18099";"-"
"1101807";"Vale do Paraíso (RO)";"642";"-";"14439";"-"
"1200013";"Acrelândia (AC)";"736";"X";"17388";"X"
"1200054";"Assis Brasil (AC)";"408";"X";"11430";"X"
"1200104";"Brasiléia (AC)";"2167";"18";"46177";"288"
"1200138";"Bujari (AC)";"1533";"X";"23376";"X"
"1200179";"Capixaba (AC)";"506";"-";"13681";"-"
"1200203";"Cruzeiro do Sul (AC)";"9154";"X";"199897";"X"
"1200252";"Epitaciolândia (AC)";"1511";"24";"30062";"437"
"1200302";"Feijó (AC)";"1925";"X";"33526";"X"
"1200328";"Jordão (AC)";"524";"X";"9745";"X"
"1200336";"Mâncio Lima (AC)";"841";"-";"16622";"-"
"1200344";"Manoel Urbano (AC)";"444";"-";"12463";"-"
"1200351";"Marechal Thaumaturgo (AC)";"1210";"-";"25908";"-"
"1200385";"Plácido de Castro (AC)";"1333";"X";"26817";"X"
"1200393";"Porto Walter (AC)";"636";"-";"13377";"-"
"1200401";"Rio Branco (AC)";"99430";"X";"4126526";"X"
"1200427";"Rodrigues Alves (AC)";"728";"-";"18616";"-"
"1200435";"Santa Rosa do Purus (AC)";"256";"X";"7384";"X"
"1200450";"Senador Guiomard (AC)";"1696";"X";"36524";"X"
"1200500";"Sena Madureira (AC)";"2285";"24";"48616";"386"
"1200609";"Tarauacá (AC)";"1756";"7";"49366";"106"
"1200708";"Xapuri (AC)";"765";"2";"16606";"30"
"1200807";"Porto Acre (AC)";"901";"-";"20958";"-"
"1300029";"Alvarães (AM)";"765";"-";"20571";"-"
"1300060";"Amaturá (AM)";"585";"-";"14364";"-"
"1300086";"Anamã (AM)";"521";"-";"10642";"-"
"1300102";"Anori (AM)";"719";"-";"17914";"-"
"1300144";"Apuí (AM)";"880";"3";"21908";"61"
"1300201";"Atalaia do Norte (AM)";"1243";"-";"27063";"-"
"1300300";"Autazes (AM)";"2235";"X";"59581";"X"
"1300409";"Barcelos (AM)";"1121";"X";"27672";"X"
"1300508";"Barreirinha (AM)";"2066";"-";"45598";"-"
"1300607";"Benjamin Constant (AM)";"2494";"-";"57899";"-"
"1300631";"Beruri (AM)";"1156";"-";"26787";"-"
"1300680";"Boa Vista do Ramos (AM)";"1303";"-";"25516";"-"
"1300706";"Boca do Acre (AM)";"2149";"-";"43369";"-"
"1300805";"Borba (AM)";"2307";"-";"58563";"-"
"1300839";"Caapiranga (AM)";"843";"-";"17342";"-"
"1300904";"Canutama (AM)";"534";"X";"10587";"X"
"1301001";"Carauari (AM)";"1471";"X";"32192";"X"
"1301100";"Careiro (AM)";"1414";"7";"43786";"81"
"1301159";"Careiro da Várzea (AM)";"1110";"-";"26959";"-"
"1301209";"Coari (AM)";"7486";"17";"263199";"249"
"1301308";"Codajás (AM)";"981";"-";"24321";"-"
"1301407";"Eirunepé (AM)";"1563";"X";"36134";"X"
"1301506";"Envira (AM)";"1002";"X";"20745";"X"
"1301605";"Fonte Boa (AM)";"1909";"X";"34727";"X"
"1301654";"Guajará (AM)";"636";"-";"11443";"-"
"1301704";"Humaitá (AM)";"3025";"44";"82576";"596"
"1301803";"Ipixuna (AM)";"328";"-";"7440";"-"
"1301852";"Iranduba (AM)";"4492";"25";"103544";"194"
"1301902";"Itacoatiara (AM)";"8965";"38";"239595";"542"
"1301951";"Itamarati (AM)";"778";"-";"15310";"-"
"1302009";"Itapiranga (AM)";"329";"X";"14372";"X"
"1302108";"Japurá (AM)";"1029";"-";"18549";"-"
"1302207";"Juruá (AM)";"863";"-";"15572";"-"
"1302306";"Jutaí (AM)";"677";"-";"11348";"-"
"1302405";"Lábrea (AM)";"2012";"X";"47250";"X"
"1302504";"Manacapuru (AM)";"6479";"36";"147793";"543"
"1302553";"Manaquiri (AM)";"1104";"-";"23515";"-"
"1302603";"Manaus (AM)";"486727";"1787";"19911257";"34496"
"1302702";"Manicoré (AM)";"1885";"X";"47447";"X"
"1302801";"Maraã (AM)";"720";"-";"13359";"-"
"1302900";"Maués (AM)";"3316";"X";"69585";"X"
"1303007";"Nhamundá (AM)";"1027";"-";"22607";"-"
"1303106";"Nova Olinda do Norte (AM)";"1458";"X";"37580";"X"
"1303205";"Novo Airão (AM)";"1175";"X";"33081";"X"
"1303304";"Novo Aripuanã (AM)";"990";"X";"23373";"X"
"1303403";"Parintins (AM)";"6028";"37";"133795";"535"
"1303502";"Pauini (AM)";"925";"-";"23287";"-"
"1303536";"Presidente Figueiredo (AM)";"5076";"19";"230962";"255"
"1303569";"Rio Preto da Eva (AM)";"1803";"19";"45026";"424"
"1303601";"Santa Isabel do Rio Negro (AM)";"768";"-";"16599";"-"
"1303700";"Santo Antônio do Içá (AM)";"1413";"X";"25719";"X"
"1303809";"São Gabriel da Cachoeira (AM)";"2160";"X";"48862";"X"
"1303908";"São Paulo de Olivença (AM)";"998";"-";"47678";"-"
"1303957";"São Sebastião do Uatumã (AM)";"544";"-";"13678";"-"
"1304005";"Silves (AM)";"497";"-";"11961";"-"
"1304062";"Tabatinga (AM)";"3908";"X";"92448";"X"
"1304104";"Tapauá (AM)";"1546";"-";"32143";"-"
"1304203";"Tefé (AM)";"5616";"34";"123750";"485"
"1304237";"Tonantins (AM)";"964";"-";"19644";"-"
"1304260";"Uarini (AM)";"824";"-";"20371";"-"
"1304302";"Urucará (AM)";"746";"X";"24380";"X"
"1304401";"Urucurituba (AM)";"931";"X";"26591";"X"
"1400027";"Amajari (RR)";"489";"X";"10218";"X"
"1400050";"Alto Alegre (RR)";"767";"-";"17493";"-"
"1400100";"Boa Vista (RR)";"89232";"452";"3929496";"7803"
"1400159";"Bonfim (RR)";"870";"X";"17817";"X"
"1400175";"Cantá (RR)";"1050";"-";"22112";"-"
"1400209";"Caracaraí (RR)";"1407";"X";"33626";"X"
"1400233";"Caroebe (RR)";"531";"X";"10513";"X"
"1400282";"Iracema (RR)";"476";"-";"11814";"-"
"1400308";"Mucajaí (RR)";"933";"-";"20971";"-"
"1400407";"Normandia (RR)";"529";"X";"15125";"X"
"1400456";"Pacaraima (RR)";"916";"1";"17336";"42"
"1400472";"Rorainópolis (RR)";"2250";"12";"49400";"224"
"1400506";"São João da Baliza (RR)";"803";"-";"15864";"-"
"1400605";"São Luiz (RR)";"647";"X";"10258";"X"
"1400704";"Uiramutã (RR)";"280";"-";"9085";"-"
"1500107";"Abaetetuba (PA)";"10544";"30";"217573";"479"
"1500131";"Abel Figueiredo (PA)";"725";"-";"15310";"-"
"1500206";"Acará (PA)";"4684";"X";"116937";"X"
"1500305";"Afuá (PA)";"2487";"X";"66773";"X"
"1500347";"Água Azul do Norte (PA)";"1431";"-";"38106";"-"
"1500404";"Alenquer (PA)";"2815";"X";"69627";"X"
"1500503";"Almeirim (PA)";"3729";"X";"147873";"X"
"1500602";"Altamira (PA)";"16277";"X";"535815";"X"
"1500701";"Anajás (PA)";"1243";"-";"48619";"-"
"1500800";"Ananindeua (PA)";"67066";"X";"1584532";"X"
"1500859";"Anapu (PA)";"1669";"4";"43221";"85"
"1500909";"Augusto Corrêa (PA)";"2528";"X";"64398";"X"
"1500958";"Aurora do Pará (PA)";"1576";"-";"45774";"-"
"1501006";"Aveiro (PA)";"867";"-";"21491";"-"
"1501105";"Bagre (PA)";"704";"X";"9929";"X"
"1501204";"Baião (PA)";"1839";"-";"52067";"-"
"1501253";"Bannach (PA)";"424";"-";"11616";"-"
"1501303";"Barcarena (PA)";"25952";"176";"976406";"2947"
"1501402";"Belém (PA)";"407008";"2257";"18907718";"45130"
"1501451";"Belterra (PA)";"1314";"X";"32321";"X"
"1501501";"Benevides (PA)";"9911";"1";"269322";"16"
"1501576";"Bom Jesus do Tocantins (PA)";"917";"-";"24415";"-"
"1501600";"Bonito (PA)";"1746";"-";"39371";"-"
"1501709";"Bragança (PA)";"7504";"105";"190556";"1579"
"1501725";"Brasil Novo (PA)";"1184";"X";"31108";"X"
"1501758";"Brejo Grande do Araguaia (PA)";"569";"X";"12679";"X"
"1501782";"Breu Branco (PA)";"3343";"X";"117253";"X"
"1501808";"Breves (PA)";"6981";"X";"209466";"X"
"1501907";"Bujaru (PA)";"1335";"-";"38033";"-"
"1501956";"Cachoeira do Piriá (PA)";"958";"-";"21253";"-"
"1502004";"Cachoeira do Arari (PA)";"1034";"-";"26366";"-"
"1502103";"Cametá (PA)";"6007";"26";"190313";"316"
"1502152";"Canaã dos Carajás (PA)";"13371";"X";"507323";"X"
"1502202";"Capanema (PA)";"7715";"44";"169137";"801"
"1502301";"Capitão Poço (PA)";"4051";"X";"67130";"X"
"1502400";"Castanhal (PA)";"33784";"X";"756758";"X"
"1502509";"Chaves (PA)";"1469";"-";"32481";"-"
"1502608";"Colares (PA)";"587";"-";"14439";"-"
"1502707";"Conceição do Araguaia (PA)";"3448";"27";"95440";"353"
"1502756";"Concórdia do Pará (PA)";"2601";"X";"71047";"X"
"1502764";"Cumaru do Norte (PA)";"995";"-";"30429";"-"
"1502772";"Curionópolis (PA)";"2604";"6";"78473";"77"
"1502806";"Curralinho (PA)";"1886";"X";"52175";"X"
"1502855";"Curuá (PA)";"1079";"-";"22773";"-"
"1502905";"Curuçá (PA)";"2042";"X";"47203";"X"
"1502939";"Dom Eliseu (PA)";"4078";"48";"107638";"652"
"1502954";"Eldorado do Carajás (PA)";"2365";"18";"56682";"247"
"1503002";"Faro (PA)";"578";"-";"10774";"-"
"1503044";"Floresta do Araguaia (PA)";"1215";"X";"34031";"X"
"1503077";"Garrafão do Norte (PA)";"1651";"-";"39397";"-"
"1503093";"Goianésia do Pará (PA)";"2640";"X";"65734";"X"
"1503101";"Gurupá (PA)";"1849";"-";"53929";"-"
"1503200";"Igarapé-Açu (PA)";"1982";"X";"44318";"X"
"1503309";"Igarapé-Miri (PA)";"3555";"X";"98959";"X"
"1503408";"Inhangapi (PA)";"949";"-";"18580";"-"
"1503457";"Ipixuna do Pará (PA)";"3650";"X";"100075";"X"
"1503507";"Irituia (PA)";"1675";"-";"36756";"-"
"1503606";"Itaituba (PA)";"11544";"124";"366026";"2053"
"1503705";"Itupiranga (PA)";"2553";"7";"71735";"127"
"1503754";"Jacareacanga (PA)";"1592";"61";"50508";"2002"
"1503804";"Jacundá (PA)";"3448";"X";"94210";"X"
"1503903";"Juruti (PA)";"5403";"17";"224422";"181"
