Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Janeiro;1;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Fevereiro;2;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;março;3;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Abril;4;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Maio;5;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Junho;6;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Julho;7;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Agosto;8;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Setembro;9;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Outubro;10;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Novembro;11;0
África;1;África do Sul;2;Acre;1;Aérea;1;2022;Dezembro;12;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Janeiro;1;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Fevereiro;2;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;março;3;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Abril;4;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Maio;5;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Junho;6;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Julho;7;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Agosto;8;1
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Setembro;9;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Outubro;10;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Novembro;11;0
África;1;África do Sul;2;Acre;1;Terrestre;2;2022;Dezembro;12;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Janeiro;1;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Fevereiro;2;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;março;3;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Abril;4;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Maio;5;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Junho;6;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Julho;7;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Agosto;8;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Setembro;9;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Outubro;10;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Novembro;11;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2022;Dezembro;12;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Janeiro;1;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Fevereiro;2;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;março;3;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Abril;4;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Maio;5;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Junho;6;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Julho;7;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Agosto;8;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Setembro;9;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Outubro;10;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Novembro;11;0
África;1;África do Sul;2;Amapá;3;Aérea;1;2022;Dezembro;12;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Janeiro;1;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Fevereiro;2;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;março;3;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Abril;4;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Maio;5;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Junho;6;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Julho;7;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Agosto;8;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Setembro;9;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Outubro;10;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Novembro;11;0
África;1;África do Sul;2;Amapá;3;Terrestre;2;2022;Dezembro;12;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Janeiro;1;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Fevereiro;2;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;março;3;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Abril;4;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Maio;5;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Junho;6;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Julho;7;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Agosto;8;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Setembro;9;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Outubro;10;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Novembro;11;0
África;1;África do Sul;2;Amapá;3;Marítima;3;2022;Dezembro;12;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Janeiro;1;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Fevereiro;2;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;março;3;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Abril;4;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Maio;5;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Junho;6;2
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Julho;7;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Agosto;8;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Setembro;9;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Outubro;10;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Novembro;11;0
África;1;África do Sul;2;Amapá;3;Fluvial;4;2022;Dezembro;12;4
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Janeiro;1;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Fevereiro;2;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;março;3;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Abril;4;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Maio;5;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Junho;6;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Julho;7;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Agosto;8;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Setembro;9;0
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Outubro;10;1
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Novembro;11;6
África;1;África do Sul;2;Amazonas;4;Aérea;1;2022;Dezembro;12;1
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Janeiro;1;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Fevereiro;2;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;março;3;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Abril;4;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Maio;5;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Junho;6;0
África;1;África do Sul;2;Amazonas;4;Terrestre;2;2022;Julho;7;0
